reviewid,genre,count_of_genre
21355,rap,1
21370,pop/r&b,1
21424,rap,1
21385,global,1
21351,rock,2
21351,rap,2
21377,electronic,1
21416,,0
21368,rap,1
21350,jazz,1
21369,experimental,1
21343,rock,1
21341,rap,2
21341,pop/r&b,2
21348,electronic,1
21338,rock,1
21337,rap,1
21328,rock,1
21349,rap,1
21331,rock,1
21352,,0
21326,rock,2
21326,electronic,2
21329,rap,1
20947,rock,2
20947,electronic,2
21342,rock,1
21296,,0
21179,metal,1
21344,rap,1
21312,rap,1
21308,rap,1
21325,rap,1
21340,pop/r&b,1
21336,rock,1
21324,rock,1
21256,experimental,1
21327,electronic,1
21305,,0
21317,rock,1
21309,rock,1
21297,folk/country,1
21313,electronic,1
21306,rock,1
21289,rock,1
21307,rock,1
21283,experimental,1
21280,,0
21321,rock,1
21292,rap,1
21265,electronic,1
21318,electronic,1
21322,experimental,1
21286,metal,2
21286,experimental,2
21235,rock,1
21228,pop/r&b,1
21263,metal,1
20996,,0
21212,electronic,1
21302,electronic,1
21259,rock,1
21281,rap,1
21293,rap,1
21319,pop/r&b,1
21209,rap,1
21294,electronic,1
21269,pop/r&b,1
21304,pop/r&b,1
21295,rock,1
21315,rock,1
21245,rock,1
21320,rap,1
21288,electronic,1
21158,jazz,1
21301,rock,1
21270,experimental,1
21250,folk/country,1
21208,metal,1
21279,rock,1
21169,electronic,1
21299,electronic,1
21201,metal,1
21134,metal,1
21246,pop/r&b,1
21275,rock,1
21240,electronic,1
21258,electronic,1
21242,metal,1
21164,rap,1
21274,rap,1
21300,rock,1
21237,pop/r&b,1
21233,experimental,1
21213,global,1
21189,experimental,1
21277,electronic,1
21159,electronic,1
21239,rap,1
21231,experimental,1
21221,electronic,1
21216,rap,1
21285,pop/r&b,1
21241,experimental,1
21248,pop/r&b,1
21163,pop/r&b,1
21135,experimental,1
21255,rap,1
21141,rock,1
20916,rap,1
21261,rock,1
21225,electronic,1
21247,pop/r&b,1
20588,,0
21218,rap,1
21271,pop/r&b,1
21217,experimental,1
21266,rock,1
21273,pop/r&b,1
21157,rock,1
21109,rap,1
21215,rap,1
21205,experimental,1
21276,rock,1
21253,electronic,1
21254,rock,1
21272,rap,1
21203,,0
21252,pop/r&b,1
21264,pop/r&b,1
21267,rock,2
21267,pop/r&b,2
21207,metal,1
21188,rock,1
21249,metal,1
21108,experimental,1
21232,pop/r&b,2
21232,electronic,2
21142,rock,1
21229,electronic,1
21133,experimental,1
21214,pop/r&b,1
21262,rap,1
21092,rock,1
21132,rap,1
21191,rock,1
21178,rock,1
21053,rock,1
21180,electronic,1
21243,pop/r&b,1
21260,rock,1
21220,rock,1
21124,rock,1
21177,experimental,1
21193,rock,1
21131,experimental,1
21110,electronic,1
21139,pop/r&b,1
21251,rap,1
21056,experimental,1
21204,rock,1
21161,rock,1
21100,,0
21162,electronic,1
21154,rap,1
21176,rock,1
21226,rap,1
21121,rock,1
21175,rock,1
21130,experimental,1
21128,folk/country,1
21156,rap,1
21120,electronic,1
21187,electronic,1
21223,electronic,1
21151,metal,1
21155,rap,1
21147,pop/r&b,1
21119,rock,2
21119,electronic,2
21081,electronic,1
21206,rock,1
21096,rock,1
21055,rock,1
21143,metal,1
21196,electronic,1
21183,experimental,1
21091,rock,1
21224,rap,1
21222,electronic,1
21106,jazz,2
21106,metal,2
21211,electronic,1
21182,rock,1
21173,pop/r&b,1
21098,pop/r&b,1
21153,rap,1
21174,experimental,1
21125,rock,1
20980,rock,1
20859,rock,1
21126,experimental,1
21200,metal,1
21097,folk/country,1
21117,electronic,1
21089,pop/r&b,1
21195,electronic,1
21152,rock,1
21197,rock,1
21181,electronic,1
21172,rap,1
21116,rock,1
21171,rock,1
20903,rap,1
21198,rock,1
21013,pop/r&b,1
21148,electronic,1
21149,rock,1
21041,electronic,1
21202,rap,1
21199,rap,1
21150,electronic,1
21054,metal,1
21194,rock,1
21088,electronic,1
21018,electronic,1
