artist,title
ryan ferguson,only trying to help
pj harvey,white chalk
mm,go go smear the poison ivy
sleeping states,there the open spaces
christy & emily,gueen's head
joe henry,civilians
devendra banhart,smokey rolls down thunder canyon
various artists,love is the song we sing: san francisco nuggets 1965-1970
new buffalo,"somewhere, anywhere"
pseudosix,pseudosix
crippled black phoenix,a love of shared disasters
akron/family,love is simple
qui,love's miracle
baroness,red album
roky erickson,you're gonna miss me ost
arks,the international
thurston moore,trees outside the academy
shout out louds,our ill wills
ewan pearson,piece work
islaja,ulual yyy
shock cinema,our way is revenge
les savy fav,let's stay friends
pink floyd,the piper at the gates of dawn  [40th anniversary edition]
picastro,whore luck
brother reade,rap music
red krayola with art & language,sighs trapped by liars
"broken social scene, kevin drew",spirit if...
modeselektor,happy birthday!
fovea hex,allure ep
port o'brien,the wind and the swell
ice water,polluted water
the modern lovers,the modern lovers
rogue wave,asleep at heaven's gate
pelle carlberg,in a nutshell
tujiko noriko,solo
sixtoo,jackals and vipers in envy of man
various artists,kurt cobain about a son
hot hot heat,happiness ltd.
zap mama,supermoon
map of africa,map of africa
amiina,kurr
the go! team,proof of youth
pinback,autumn of the seraphs
david dondero,simple love
circus devils,sgt. disco
bang lime,best friends in love
turzi,a
kanye west,graduation
50 cent,curtis
arthur russell,24->24 music
kate nash,made of bricks
animal collective,strawberry jam
the good life,help wanted nights
various artists,home schooled: the abcs of kid soul
kano,london town
vhs or beta,bring on the comets
dirty projectors,rise above
various artists,from dubplate to download: the best of greensleeves records
bobby bare,"bobby bare sings lullabys, legends & lies (and more)"
the budos band,the budos band ii
mick harvey,two of diamonds
black lips,good bad not evil
napalm death,scum: 20th anniversary edition
manu chao,la radiolina
sarah shannon,city morning song
airiel,the battle of sealand
jens lekman,night falls over kortedala
black francis,bluefinger
tiny vipers,hands across the void
a hawk and a hacksaw,a hawk and a hacksaw and the hun hangr ensemble
louis philippe,an unknown spring
super furry animals,hey venus!
siouxsie sioux,mantaray
swizz beatz,one man band man
kinski,down below it's chaos
the mooney suzuki,have mercy
a place to bury strangers,a place to bury strangers
various artists,wattstax
ellen allien,fabric 34
linda thompson,versatile heart
kevin drumm,gauntlet
various artists,guilt by association
prinzhorn dance school,prinzhorn dance school
the mendoza line,30 year low/final remarks of the legendary malcontent
loren mazzacane-connors,the hymn of the north star
euros childs,the miracle inn
various artists,rumble in the jungle
talib kweli,eardrum
prefab sprout,steve mcqueen [legacy edition]
the howling hex,xi
artanker convoy,cozy endings
aesop rock,none shall pass
amerie,because i love it
the chills,heavenly pop hits: the best of the chills
percee p,perseverance
robbers on high street,grand animals
liars,liars
earlimart,mentor tormentor
joan as police woman,real life
various artists,summer records anthology 1974-1988
mavado,gangsta for life: the symphony of david brooks
travis morrison hellfighters,all y'all
mekons,natural
robert pollard,crickets: the best of the fading captain series 1999 - 2007
strategy,future rock
ash,twilight of the innocents
caribou,andorra
architecture in helsinki,places like this
lubomyr melnyk,kmh
the go,howl on the haunted beat you ride
basia bulat,"oh, my darling"
the shining path,the shining path
various artists,this is next
rilo kiley,under the blacklight
raising the fawn,sleight of hand
trembling blue stars,the last holy writer
m.i.a.,kala
figurines,when the deer wore blue
foreign born,on the wing now
hacavitz,katun
the coral,roots & echoes
the new pornographers,challengers
imperial teen,the hair the tv the baby & the band
piano magic,part-monster
the high strung,get the guests
danzig,the lost tracks of danzig
ugk,underground kingz
minus the bear,planet of ice
wingtip sloat,add this to rhetoric
christian kiefer,dogs & donkeys
turbo fruits,turbo fruits
various artists,"the complete motown singles, vol. 7: 1967"
sunn o))),oracle ep
the future kings of england,the fate of old mother orvis
hopewell,beautiful targets
northern state,can i keep this pen?
life without buildings,live at the annandale hotel
lindstrm,late night tales
various artists,rekids compilation one
jason holstrom,the thieves of kailua
githead,art pop
the angels of light,we are him
nina nastasia & jim white,you follow me
eric copeland,hermaphrodite
patrick cleandenim,baby comes home
scissors for lefty,underhanded romance
stars,in our bedroom after the war
daniel menche,animality
various artists,total 8
charles mingus sextet with eric dolphy,cornell 1964
judee sill,live in london: the bbc recordings 1972-1973
young marble giants,colossal youth and collected works
the brunettes,structure & cosmetics
bodies of water,ears will pop & eyes will blink
montag,going places
king wilkie,low country suite
various artists,the hottest state ost
art in manila,set the woods on fire
hawkwind,space ritual: collector's edition
miss alex white & the red orchestra,space & time
keren ann,keren ann
magnolia electric co.,sojourner
lee scratch perry,ape-ology
blossom toes,we are ever so clean
the takeovers,bad football
sia,lady croissant
mirah,share this place: stories and observations
apparat,walls
silver daggers,new high & ord
the mary timony band,the shapes we make
leyode,fascinating tininess
okkervil river,the stage names
the magic numbers,those the brokes
various artists,the trials of darryl hunt ost
sebo k,back up vol. 01
botch,american nervoso
hans zimmer,the simpsons movie: the music
various artists,now-again re:sounds vol. 1
white noise,an electric storm
high places,high places ep
warhammer 48k,an ethereal oracle
patton oswalt,werewolves and lollipops
laurie anderson,big science
sir richard bishop,while my guitar violently bleeds
pumice,pebbles
the lovetones,axiom
foo fighters,the colour and the shape [10th anniversary special edition]
the concretes,hey trouble
marmoset,florist fired
gudrun gut,i put a record on
bassnectar,underground communication
the thermals,insound tour support 2.0
xxl,spicchiology? 
harlan t. bobo,i'm your man
bergraven,ddsvisioner
client,heartland
common,finding forever
bishop allen,bishop allen & the broken string
oh no,dr. no's oxperiment
various artists,the inspiring new sounds of rio de janeiro
namelessnumberheadman,wires reply
st. vincent,marry me
tegan and sara,the con
1990s,cookies
the boggs,forts
various artists,nothing much and something more
dlek,deadverse massive vol. 1: dlek rarities 1999-2006
new young pony club,fantastic playroom
bjrn torske,feil knapp
videohippos,unbeast the leash
the gourds,noble creatures
emily haines & the soft skeleton,what is free to a good home? ep
unkle,war stories
gogol bordello,super taranta!
crowded house,time on earth
kenge kenge,introducing kenge kenge
yeah yeah yeahs,is is ep
john vanderslice,emerald city
chromeo,fancy footwork
jakob olausson,moonlight farm
midnight movies,lion the girl
prince,planet earth
garbage,absolute garbage
various artists,eccentric soul: the prix label
"daniel ""a.i.u."" higgs",atomic yggdrasil tarot
against me!,new wave
los campesinos!,sticking fingers into sockets ep
sebadoh,the freed man
september collective,all the birds were anarchists
excepter,streams
tied & tickled trio,aelita
matteah baim,death of the sun
the knife,silent shout deluxe edition
the cribs,"men's needs, women's needs, whatever"
various artists,the great koonaklaster speaks: a john fahey celebration
grails,burning off impurities
meat puppets,rise to your knees
editors,an end has a start
various artists,5 years get physical
skeletons and the kings of all cities,lucas
balkan beat box,nu-med
the flaming lips, ufos at the zoo: the legendary concert in oklahoma city
james brown,"the singles, volume three: 1964-1965"
the tough alliance,new waves ep
nicole willis & the soul investigators,keep reachin' up
karl blau,dance positive
they might be giants,the else
various artists,saturday night fever
efdemin,efdemin
digitalism,idealism
dj mayonnaise,still alive
nick drake,family tree
ween,the friends ep
the fall,extricate
nick lowe,at my age
jennifer gentle,the midnight room
ulrich schnauss,goodbye
spoon,ga ga ga ga ga
jason isbell,sirens of the ditch
arthur & yu,in camera
southerly,storyteller & the gossip columnist
interpol,our love to admire
frank black,93-03
the for carnation,promised works
black devil disco club,in dub
boom bip,sacchrilege ep
the smashing pumpkins,zeitgeist
m. ward,duet for guitars #2
ghq,crystal healing
maserati,inventions for the new season
black strobe,burn your own church
the tuss,rushup edge ep
david bowie,best of bowie: 1980-1987
boat,let's drag our feet
you say party,lose all time
american catastrophe,excerpts from the broken bone choir
t.i.,t.i. vs. t.i.p.
love,the blue thumb recordings
a band of bees,octopus
flash hawk parlor ensemble,plastic bag in the tree
the safes,well well well
metric,grow up and blow away
king khan,what is?!
au,au
alog,amateur
fourth of july,on the plains
the chemical brothers,we are the night
james blackshaw,the cloud of unknowing
ray's vast basement,starvation under orange trees
radio moscow,radio moscow
tomahawk,anonymous
bryan ferry,dylanesque
bowerbirds,hymns for a dark horse
travis,the boy with no name
tarwater,spider smile
drawing voices,drawing voices
bad brains,build a nation
taken by trees,open field
the detroit cobras,tied & true
the flowers of hell,the flowers of hell
dj khaled,we the best
jim james,tennessee fire & at dawn demos
pig destroyer,phantom limb
minus story,my ion truss
great lakes myth society,compass rose bouquet
the maccabees,colour it in
beastie boys,the mix-up
"robert forster, grant mclennan",intermission: the best of the solo recordings 1990-1997
bumps,bumps
coyote bones,gentleman on the rocks
they shoot horses don't they?,pick up sticks
ryan adams,easy tiger
pharoahe monch,desire
thomas fehlmann,honigpumpe
ibrahim ferrer,mi sueo
badgerlore,"we are all hopeful farmers, we are all scared rabbits"
various artists,after dark
wiley,playtime is over
hallelujah the hills,collective psychosis begone
two gallants,the scenery of farewell ep
andrew pekler,cue
simian mobile disco,attack decay sustain release
the cinematic orchestra,ma fleur
oxbow,the narcotic story
various artists,buried treasure
bottom of the hudson,fantastic hawk
art brut,it's a bit complicated
jaylib,champion sound: deluxe edition
neurosis,given to the rising
lichens,omns
opsvik & jennings,commuter anthems
the polyphonic spree,the fragile army
fridge,the sun
various artists,"si, para usted: the funky beats of revolutionary cuba, volume one"
mark stewart,learning to cope with cowardice
future clouds & radar,future clouds & radar
the white stripes,icky thump
pantha du prince,this bliss
lifesavas,gutterfly
antiguo autmata mexicano,kraut slut
tobias thomas,"please, please, please"
dizzee rascal,maths + english
rihanna,good girl gone bad
dappled cities,granddance
jazzkammer & howard stelzer,tomorrow no one will be safe
immaculate machine,immaculate machine's fables
blitzen trapper,wild mountain nation
various artists,speicher 3
cex,sketchi
pelican,city of echoes
sean na na,family trees or: cope we must
sonic youth,daydream nation: deluxe edition
various artists,kitsun maison 4
"carlos giffoni, merzbow, jim orourke",electric dress
various artists,"soul sides, volume 2: the covers"
king kong,buncha beans
justice,
no age,weirdo rippers
the ladybug transistor,can't wait another day
great lake swimmers,ongiara
alsace lorraine,the dark one
queens of the stone age,era vulgaris
mark ronson,version
john wiese,soft punk
wooden wand,james & the quiet
maps,we can create
the clash,the singles
get him eat him,arms down
shapes and sizes,"split lips, winning hips, a shiner"
the race,ice station
the saints,imperious delirium
shellac,excellent italian greyhound
pissed jeans,hope for men
lightning dust,lightning dust
james blood ulmer,bad blood in the city: the piety street sessions
young jeezy presents usda,cold summer
bonde do rol,with lasers
clinic,funf
scharpling & wurster,the art of the slap
benni hemm hemm,kajak
the only children,keeper of youth
matthew dear,asa breed
r. kelly,double up
william basinski,shortwave music
blue scholars,bayani
miracle fortress,five roses
paul mccartney,memory almost full
white rabbits,fort nightly
various artists,d-i-y: do it yourself
mansbestfriend,poly.sci.187
illinois,what the hell do i know? ep
sunburned hand of the man,z
guided by voices,"live from austin, tx"
wheat,everyday i said a prayer for kathy and made a one inch square
shannon wright,let in the light
gls,harmonium
von sdenfed,tromatic reflexxions
the bravery,the sun and the moon
vapnet,ngot dligt nytt har hnt ep
tin cup prophette,liar and the thief
goldrush,the heart is the place
the afghan whigs,unbreakable (a retrospective)
robert pollard,silverfish trivia ep
meg baird,dear companion
feltbattery,it had wings
antelope,reflector
jeff buckley,so real: songs from jeff buckley
the beach boys,the warmth of the sun
alessandro stefana,poste e telegrafi
lewis & clarke,blasts of holy birth
night canopy,of honey and country
handsome furs,plague park
electrelane,"no shouts, no calls"
je suis france,afrikan majik
mando diao,ode to ochrasy
various artists,a tribute to joni mitchell
voxtrot,voxtrot
lucky soul,the great unwanted
burning star core,"operator dead, post abandoned"
aa,gaame
kavinsky,1986 ep
hot chip,dj kicks
black moth super rainbow,dandelion gum
parts & labor,mapmaker
me,...mixing
jai-alai savant,flight of the bass delegate
betty davis,betty davis
dungen,tio bitar
gang gang dance,retina riddim
titan,a raining sun of light and love for you and you and you
morningbell,through the belly of the sea
the national,boxer
stars,do you trust your friends?
pterodactyl,pterodactyl
the narrator,all that to the wall
the national lights,"the dead will walk, dear"
kathy diamond,miss diamond to you
"fennesz, sakamoto",cendre
arve henriksen,strjon
fields,everything last winter
monotract,trueno oscuro
rufus wainwright,release the stars
kalabrese,rumpelzirkus
various artists,cult cargo: grand bahama goombay
harlem shakes,burning birthdays ep
french toast,ingleside terrace
lil wayne,da drought 3
madlib,time out presents: the other side los angeles
skert!,skert!
david torn,prezens
vladislav delay,whistleblower
battles,mirrored
ladyhawk,fight for anarchy ep
slaraffenland,private cinema
the roadside graves,no one will know where you've been
telefon tel aviv,remixes compiled
wilco,sky blue sky
various artists,joe strummer: the future is unwritten
jana hunter,there's no home
savath y savalas,golden pollen
seymore saves the world,seymore saves the world
dan deacon,spiderman of the rings
sage francis,human the death dance
the mary onettes,the mary onettes
the innocence mission,we walked in song
the affair,yes yes to you
the clientele,god save the clientele
cub,betti-cola
a-trak,dirty south dance
paul duncan,above the trees
mother hips,kiss the crystal flake
elliott smith,new moon
page france,...and the family telephone
fursaxa,alone in the dark wood
plastiscines,lp1
the fucking champs,vi
bjrk,volta
the sea and cake,everybody
andy partridge,monstrance
dj blaqstarr,supastarr ep
hail social,modern love and death
love of diagrams,mosaic
of montreal,"icons, abstract thee ep"
lavender diamond,imagine our love
alex delivery,star destroyer
amandine,solace in sore hands
leonard cohen,songs of leonard cohen
seefeel,quique: redux edition
ola podrida,ola podrida
sister vanilla,little pop rock
joseph arthur,let's just be
frog eyes,tears of the valedictorian
black rebel motorcycle club,baby 81
through the sparks,lazarus beach
valet,blood is clean
maria taylor,lynn teeter flower
james brown,"the singles, volume two: 1960-1963"
original silence,the first original silence
growing,vision swim
white hills,glitter glamour atrocity
panthers,the trick
dinosaur jr.,beyond
various artists,death proof
ben + vesper,all this could kill you
the shaky hands,the shaky hands
robbie fulks,revenge!
feist,the reminder
yoko ono,open your box
mike tamburo and the universal orchestra of pituitary knowledge,ghosts of marumbey
robert gomez,brand new towns
all smiles,ten readings of a warning
sly and the family stone,the collection
the blow,poor aim: love songs
priestbird,in your time
no-neck blues band,nine for victor
thee more shallows,the book of bad breaks
bill callahan,woke on a whaleheart
"avey tare, kra brekkan",pullhair rubeye
optimo,walkabout
part chimp,cup
yndi halda,enjoy eternal bliss
dntel,dumb luck
yacht,"i believe in you, your magic is real"
various artists,20 ways to float through walls
mira calix,eyes set against the sun
silmaril,the voyage of icarus
arctic monkeys,favourite worst nightmare
various artists,sc100
the veils,nux vomica
shitdisco,kingdom of fear
cowboy junkies,at the end of paths taken
joanna newsom,joanna newsom & the ys street band ep
the wedding present,the complete peel sessions
essie jain,we made this ourselves
alias,collected remixes
the aliens,astronomy for dogs
prodigy,return of the mac
patti smith,twelve
the rakes,ten new messages
germans,cape fear
stephen vitiello,listening to donald judd
the hold steady,live at fingerprints
cocorosie,the adventures of ghosthorse and stillborn
the crayon fields,animal bells
the fratellis,costello music
idlewild,make another world
klaxons,myths of the near future
throbbing gristle,part two: the endless not
various artists,eccentric soul: twinight's lunar rotation
noisettes,"what's the time, mr. wolf?"
31knots,the days and nights of everything anywhere
nine inch nails,year zero
the bark haze,total joke era / lp
mice parade,mice parade
novi split,pink in the sink
mika,life in cartoon motion
deerhunter,fluorescent grey ep
spank rock,fabriclive 33
the comas,spells
let's go sailing,the chaos in order
laura veirs,saltbreakers
dolly parton,coat of many colors
cornelius,sensuous
"elvis perkins in dearland, elvis perkins",ash wednesday
lucky dragons,widows
radical face,ghost
the twilight sad,fourteen autumns and fifteen winters
shearwater,palo santo: expanded edition
bobby conn,king for a day
sarah nixey,"sing, memory"
golden ball,the antique barking swirls of dawn
junior boys,dead horse ep
blonde redhead,23
adult.,why bother?
yellowman,most wanted
circle,tower [ft. verde]
tv on the radio,live at amoeba music ep
boredoms,super roots 9
xbxrx,wars
infinite livez,art brut fe de yoot
dr. dog,we all belong
bright eyes,cassadaga
brother ali,the undisputed truth
best of seth,sparrow trout heart sprout
the chalets,check in
rosie thomas,these friends of mine
grinderman,grinderman
the rosebuds,night of the furies
dominik eulberg,heimische gefilde
lost in the trees,time taunts me
high priest,born identity
xiu xiu,remixed & covered
kings of leon,because of the times
good shoes,think before you speak
redman,red gone wild
the last town chorus,wire waltz
matthew herbert,score
maximo park,our earthly pleasures
tinariwen,aman iman: water is life
young galaxy,young galaxy
the finches,human like a house
stars of the lid,and their refinement of the decline
nick cave & the bad seeds,the abbatoir blues tour
moving oos,peace and love
call me lightning,soft skeletons
young buck,buck the world
timbaland,shock value
cloud cult,the meaning of 8
the red crayola,soldier-talk
howling bells,howling bells
sj esau,wrong-faced cat feed collapse
"willie nelson, merle haggard, and ray price",last of the breed
pentangle,the time has come: 1967-73
justine d,rvng prsnts mx5
rich boy,rich boy
the dead science,crepuscule with the dead science ep
various artists,ed rec vol. 2
devin the dude,waitin' to inhale
vieux farka tour,vieux farka tour
david kilgour,the far now
rtx,western xterminator
fountains of wayne,traffic and weather
amy winehouse,back to black
land of talk,applause cheer boo hiss ep
unsane,visqueen
paula frazer and tarnation,now it's time
j dilla,ruff draft
the black dog,book of dogma
earth,hibernaculum
the assemble head in sunburst sound,ekranoplan
ghost stories,quixoticism
the field,from here we go sublime
brett anderson,brett anderson
axolotl,memory theatre
victor bermon,arriving at night
madeline,the slow bang
andrew bird,armchair apocrypha
various artists,the upsetter selection-- a lee perry jukebox
times new viking,present the paisley reich
hotel alexis,"goliath, i'm on your side"
aqueduct,or give me death
panda bear,person pitch
mary weiss,dangerous game
palomar,"all things, forests"
the zincs,black pompadour
fulton lights,fulton lights
nadja,touched
tracey thorn,out of the woods
ted leo and the pharmacists,living with the living
mother mother,touch up
paper airplanes,boyhood
lcd soundsystem,sound of silver
the stooges,the weirdness
various artists,rio baile funk: more favela booty beats
jesse sykes & the sweet hereafter,like love lust and the open halls of the soul
pagoda,pagoda
modest mouse,we were dead before the ship even sank
kieran hebden,tongues
various artists,"labrador 100, a complete history of popular music"
welcome,sirs
milenasong,seven sisters
secret mommy,plays
el-p,ill sleep when youre dead
a sunny day in glasgow,scribble mural comic journal
my latest novel,wolves
momus,ocky milk
low,drums and guns
pole,steingarten
odawas,raven and the white night
svarte greiner,knive
mm,the peel session ep
the ponys,turn the lights out
various artists,songs for the young at heart
panther,secret lawns
bob & gene,if this world were mine...
wolf & cub,vessels
neil young,live at massey hall
various artists,stax 50th anniversary celebration
catherine howe,what a beautiful place
rio en medio,the bride of dynamite
willy mason,if the ocean gets rough
beck,the information: deluxe edition
the fall,reformation post tlc
fucked up,hidden world
winterkids,memoirs
tempo no tempo,the get down ep
rjd2,the third hand
nico,the frozen borderline: 1968-1970
cheeseburger,cheeseburger
the one am radio,this too will pass
chris garneau,music for tourists
sun kil moon,ghosts of the great highway
patrick wolf,the magic position
dlek,abandoned language
the frames,the cost
omar rodriguez-lpez & damo suzuki,please heat this eventually ep
air,pocket symphony
marissa nadler,songs iii: bird on the water
dean & britta,back numbers
the view,hats off to the buskers
rwake,voices of omens
bright eyes,four winds ep
au revoir simone,the bird of music
big business,here come the waterworks
greg ashley,painted garden
money mark,brand new by tomorrow
arcade fire,neon bible
amon tobin,the foley room
charlotte hatherley,the deep blue
damero,happy in grey
barr,summary
!!!,myth takes
the zombies,"live at the bloomsbury theatre, london"
the eternals,heavy international
tanakh,saunders hollow
the diminisher,imaginary volcano
kaiser chiefs,"yours truly, angry mob"
aesop rock,all day
electric light orchestra,out of the blue
mittens on strings,"it is becomes disaffect toward the present world, look up the sky!!"
love of diagrams,love of diagrams ep
johnny cash,ultimate gospel
gui boratto,chromophobia
uncut,modern currencies
trans am,sex change
yellow swans & birchville cat motel,yellow swans & birchville cat motel
the early years,the early years
luscious jackson,greatest hits
ignatz,ii
m. ward,to go home
black lips,los valientes del mundo nuevo
various artists,jonny greenwood is the controller
the capstan shafts,euridice proudhon
do make say think,"you, you're a history in rust"
lavender diamond,the cavalry of light ep
white flight,white flight
marnie stern,in advance of the broken arm
madonna,the confessions tour
thomas brinkmann,klick revolution
benevento/russo duo,play pause stop
l. pierre,dip
papercuts,can't go back
eluvium,copia
richard swift,dressed up for the letdown
dredd foole,daze on the mounts
gotye,like drawing blood
boredoms,super roots 6/7/8
shining,grindstone
the high llamas,can cladders
elephant man,monsters of dancehall: the energy god
p.g. six,slightly sorry
charlie louvin,charlie louvin
the besnard lakes,are the dark horse
the la's,bbc in session
david karsten daniels,sharp teeth
tk webb,phantom parade
lucinda williams,west
explosions in the sky,all of a sudden i miss everyone
rhys chatham,a crimson grail (for 400 electric guitars)
the memory band,apron strings
softlightes,say no to being cool - say yes to being happy
tim hecker,radio amor
various artists,ultimate breaks & beats: the complete collection
the trees community,the christ tree
imitation electric piano,"blow it up, burn it down, kick it 'til it bleeds"
the berg sans nipple,along the quai
various artists,cd86: 48 tracks from the birth of indie pop
studio,yearbook 1
juggaknots,use your confusion
clouds,legendary demo
julie doiron,woke myself up
soft circle,full bloom
various artists,london is the place for me: part four
women and children,"paralyzed dance, tonight"
six parts seven,casually smashed to pieces
kristin hersh,learn to sing like a star
lifetime,lifetime
various artists,imagine the shapes
cyann & ben,sweet beliefs
carlos giffoni,arrogance
the bird and the bee,the bird and the bee
calla,strength in numbers
jesu,conqueror
the postmarks,the postmarks
the faces,the definitive rock collection
various artists,8-bit operators: the music of kraftwerk
the jam,direction reaction creation
the apples in stereo,new magnetic wonder
young widows,settle down city
the ruby suns,the ruby suns
cougar,law
o.lamm,monolith
dexys midnight runners,the projected passion revue
sondre lerche,phantom punch
weasel walter quartet,revolt music
bat for lashes,fur & gold
yoko ono,"yes, i'm a witch"
benjy ferree,leaving the nest
audionom,retrospektiv
rafter,music for total chickens
alasdair roberts,the amber gatherers
various artists,forever changing: the golden age of elektra records 1963-1973
loney dear,"loney, noir"
radicalfashion,odori
nurse & soldier,marginalia
vert,some beans & an octopus
bloc party,a weekend in the city
apostle of hustle,national anthem of nowhere
ghost,in stormy nights
future pilot aka,secrets from the clockhouse
laibach,volk
various artists,endless highway: the music of the band 
the rza presents,afro samurai: the soundtrack
new young pony club,new young pony club ep
human host,exploding demon
early day miners,offshore
boredoms,super roots 1
busdriver,roadkillovercoat
the dead c,"vain, erudite, and stupid: selected works 1987-2005"
the broken west,"i can't go on, i'll go on"
architecture in helsinki,we died they remixed
beirut,lon gisland ep
frank sinatra,vegas: live
hella,there's no 666 in outer space
husky rescue,ghost is not real
no bra,dance and walk
deerhunter,cryptograms
various artists,ed rec vol. 1
various artists,the roots of dubstep
noah georgeson,find shelter
kath bloom,finally
clap your hands say yeah,some loud thunder
various artists,stones throw: ten years
thomas mapfumo and the blacks unlimited,rise up
tralala,is that the tralala
daylight's for the birds,trouble everywhere
hammock,raising your voicetrying to stop an echo
pulp,the peel sessions
ricardo villalobos,fizheuer zieheuer
to live and shave in l.a.,noon & eternity
aereogramme,my heart has a wish that you would not go
animal collective,people ep
botch,unifying themes redux
rob crow,living well
k-os,atlantis: hymns for disco
christina rosenvinge,continental 62
of montreal,"hissing fauna, are you the destroyer?"
various artists,a life less lived: the gothic box
david daniell,coastal
rachid taha,diwan 2
"daniel ""a.i.u."" higgs",ancestral songs
deerhoof,friend opportunity
arbouretum,rites of uncovering
relay,still point of turning
ooioo,taiga
doleful lions,song cyclops volume two
the shins,wincing the night away
field music,tones of town
various artists,pop ambient 2007
sloan,never hear the end of it
helios,eingya
andy partridge,fuzzy warbles collectors album
green day,kerplunk
pop levi,the return to form black majick party
bracken,we know about the need
jackwacker,...things from inside your body
menomena,friend and foe
david vandervelde,the moonstation house band
dark meat,universal indians
exploding star orchestra,we are all from somewhere else
joe lally,there to here
"boris, michio kurihara",rainbow
america,here & now
the aquarium,the aquarium
blake miller,together with cats
psychic ills,early violence
various artists,how low can you go?
the earlies,the enemy chorus
gruppo di improvvisazione nuova consonanza,azioni
vietnam,vietnam
ciara,the evolution
"the good, the bad & the queen","the good, the bad & the queen"
gang starr,mass appeal: the best of gang starr
charlemagne palestine and tony conrad,an aural symbiotic mystery
m. craft,silver & fire
paul brill,harpooner
the long blondes,someone to drive you home
various artists,kitsun maison 3
ponytail,kamehameha
yabby you,deliver me from my enemies
nina simone,remixed and reimagined
matthew herbert,100 lbs
arab strap,ten years of tears
silkworm,chokes! ep
miho hatori,ecdysis
starless & bible black,starless & bible black
fennesz,endless summer
matisyahu,no place to be
pas/cal,dear sir ep
jeremy enigk,world waits
flying lotus,1983
sally shapiro,disco romance
various artists,dynamite! dancehall style
paul wirkus,dformation professionnelle
pinebender,working nine to wolf
two ton boa,parasiticide
neko case,"live from austin, tx: austin city limits"
xiu xiu,creepshow
lullatone,plays pajama pop pour vous
the manhattan love suicides,the manhattan love suicides
matt & kim,matt and kim
julie doiron,julie doiron and the wooden stars
dusty springfield,complete a and b sides 1963-1970
maja ratkje,adventura anatomica
seekers who are lovers,you are the pride of your street ep
matt valentine and erika elder,green blues
the silent years,the silent years
mos def,true magic
frightened rabbit,sing the greys
solar anus,skull alcoholic: the complete solar anus
tara jane o'neil,in circles
jackie mittoo,wishbone
gruff rhys,candylion
black devil disco club,28 later
julie sokolow,something about violins
simon joyner & the fallen men,skeleton blues
plastic little,she's mature
opeth,ghost reveries [special edition]
ktl,ktl
ramblin' jack elliott,i stand alone
iv thieves,if we can't escape my pretty
the jet age,breathless
nas,hip hop is dead
josef k,entomology
aloe blacc,shine through
tiga,sexor
clint mansell,the fountain ost
ghostface killah,more fish
girls aloud,the sound of girls aloud
mahogany,connectivity!
horse feathers,words are dead
hem,funnel cloud
vince guaraldi,a charlie brown christmas
oh no,exodus into unheard rhythms
converge,no heroes
giddy motors,do easy
london sinfonietta,warp works & twentieth century masters
the wrens,silver
babyshambles,the blinding ep
arthur russell,springfield
jan jelinek,tierbeobachtungen
melvins,(a) senile animal
sonic youth,the destroyed room: b-sides and rarities
jeezy,the inspiration
the gothic archies,the tragic treasury: songs from a series of unfortunate events
polysics,now is the time!
ocrilim,anoint
tristeza, en nuestro desafo
john fahey,sea changes & coelacanths: a young persons guide to john fahey
foo fighters,skin and bones
various artists,fast food nation ost
schneider tm,skoda mluvit
gwen stefani,the sweet escape
bob wills and his texas playboys,legends of country music
the twilight sad,the twilight sad ep
white magic,dat rosa mel apibus
dirty faces,get right with god
"neil young, crazy horse",live at the fillmore east
lee hazlewood,cake or death
prurient,pleasure ground
indian jewelry,invasive exotics
mixel pixel,music for plants
the doors,perception
various artists,music from the o.c. mix 6: covering our tracks
math and physics club,math and physics club
songs of green pheasant,aerial days
les georges leningrad,sangue puro
air,latenighttales
the knife,the knife
brakes,the beatific visions
bad brains,live at cbgb 1982
robert lippok,robot
oasis,stop the clocks
robyn,the rakamonie ep
my my,songs for the gentle
the usa is a monster,sunset at the end of the industrial age
norfolk & western,the unsung colony
the beatles,love
depeche mode,the best of vol. 1
corrina repp,the absent and the distant
fe-mail,northern stains
shout out out out out,not saying/just saying
u2,18 singles
isis,in the absence of truth
pattern is movement,stowaway
ensemble,ensemble
cale parks,illuminated manuscript
hello saferide,introducing...
tom waits,"orphans: brawlers, bawlers & bastards"
2pac,pac's life
max richter,songs from before
benot pioulard,prcis
clipse,hell hath no fury
the walker brothers,everything under the sun
the brother kite,waiting for the time to be right
kidz in the hall,school was my hustle
summer hymns,backward masks
swan lake,beast moans
damien rice,9
various artists,roots of rumba rock: congo classics 1953-1955
lithops,mound magnet
pernice brothers,live a little
sufjan stevens,songs for christmas
snoop dogg,tha blue carpet treatment
+/-,let's build a fire
william basinski,variations for piano and tape
the isles,perfumed lands
pit er pat,pyramids
the clash,the singles
jay z,kingdom come
the drones,gala mill
fields,7 from the village ep
mogwai,zidane: a 21st century portrait ost
karen dalton,in my own time
mudsuckers,mudsuckers
under byen,samme stof som stof
danava,danava
jarvis cocker,jarvis
rock plaza central,are we not horses?
r. keenan lawler,music for the bluegrass states
tussle,telescope mind
+/-,let's build a fire [taiwan]
...and you will know us by the trail of dead,so divided
merle haggard,hag: the best of merle haggard
devastations,coal
slumber party,musik
whitey,the light at the end of the tunnel is a train
the game,doctor's advocate
pj harvey,the peel sessions: 1991-2004
various artists,journey into paradise: the larry levan story
manyfingers,our worn shadow
